Id;Nombre;Longitud;Latitud
290;Ctra. de la Sierra - Fte 137;-3.57436;37.163621
291;Ctra. de la Sierra 13;-3.58693;37.167047
292;Ctra. de la Sierra 14;-3.588474;37.167438
293;Ctra. de la Sierra 30;-3.585111;37.166368
294;Ctra. de la Sierra 46;-3.583161;37.165802
295;Polideportivo Bola de Oro;-3.582713;37.16425
296;Guarnón 67;-3.586824;37.164962
297;Ctra. de la Sierra 70;-3.581337;37.165293
298;Juan Pablo II 17;-3.609487;37.195607
299;Juan Pablo II 72;-3.609635;37.196353
300;Juan Pablo II 5;-3.608587;37.193925
301;Juan Pablo II 6 - Hospital Traumatología;-3.6083;37.1939
302;Fernando de los Ríos 8;-3.605602;37.160085
303;Fernando de los Ríos 35;-3.605225;37.160174
304;Fernando de los Ríos 24;-3.606609;37.15884
305;Fernando de los Ríos 23;-3.607886;37.157814
306;Cno. Alfacar - INEF 2;-3.597391;37.204658
307;Cno. Alfacar - Residencia Estudiantes;-3.597496;37.203318
308;Cno. Alfacar - Fte Centro Valoración;-3.599109;37.200439
309;Cno. Alfacar - Centro Valoración 2;-3.598477;37.201436
310;Cno. Alfacar - Ronda Panaderos;-3.599582;37.199549
311;Cno. Alfacar - CEIP Juan Ramón Jiménez;-3.599747;37.199585
312;Cno. Alfacar 1- Casería Montijo;-3.600189;37.197992
313;Cno. Alfacar 27 - Casería Montijo;-3.600379;37.197959
314;Cno. Alfacar - IES Aynadamar;-3.601198;37.195
315;Cno. Alfacar - Jefatura Tráfico;-3.60131;37.195917
316;Fernando de los Ríos - Avda. Barcelona;-3.602103;37.162477
317;Avda. Constitución 50 - Caleta - Hospital;-3.610166;37.187096
318;Profesor Clavera - Alojamientos Universitarios;-3.598165;37.190799
319;Cno. Viejo del Fargue - Fte Cruce Abadía;-3.571295;37.197046
320;Cno. Viejo del Fargue - Fte Subestación;-3.57525;37.197041
321;Cno. Viejo del Fargue - Subestación;-3.57534;37.196982
