Source;Target;Distance (m)
84;199;290.3666272498811
199;545;37.99474908644099
545;239;68.41704563365813
239;9;480.1406749722872
9;24;74.19974581014301
24;580;267.24770128511767
580;57;266.47732464562415
57;465;221.66959823733802
465;30;291.7362338517653
30;31;24.851435895251324
31;29;178.77190943456313
29;28;110.5672752486498
28;27;297.6204061605193
279;280;16.173302260882863
280;281;471.38473239530066
281;282;23.520804266175592
282;70;599.4372399339229
70;100;271.83754257906617
100;594;42.25694197310714
594;15;375.18954421774384
15;12;834.453379151206
12;22;20.354221115561625
22;590;356.921475301706
590;53;447.31394487808643
53;592;59.84698417509716
592;549;514.1167131250859
549;443;335.15265977687943
443;542;228.50959494948523
542;534;257.13388143235386
534;541;18.579170154054893
541;88;925.2985022476291
88;175;224.27214088140798
175;373;30.138962460651456
373;283;106.7240567166086
283;496;162.00014227101212
496;495;221.9446108264629
495;487;163.2846759550136
487;494;395.54014103837375
494;493;240.10520592096086
493;504;206.35411905461024
504;431;179.8097132048532
431;582;375.44754517100665
582;89;439.1685253640666
89;372;201.23934157256687
372;370;172.58827519286928
370;371;45.25050009840516
371;369;237.33316447358476
369;183;47.73779071148876
183;177;114.41926028553321
177;533;509.99715670598584
533;226;292.7531425603896
226;232;186.64182819665524
232;389;328.37730482906613
389;604;918.7310997659661
604;11;718.3856633336276
11;593;160.75006804049082
593;595;982.4933573675858
595;556;1208.1099157668398
556;385;353.8269560792518
385;92;283.3409847041927
92;382;344.0114175302861
382;383;46.47005874949064
383;381;249.3654301551152
381;527;54.38252839326337
527;384;622.005496325875
522;442;498.0989855378413
442;507;610.5822613016637
507;470;320.50472082444145
470;498;321.04309931366095
228;597;205.1121658564893
597;342;406.16615410325676
102;357;179.33044792332498
357;270;303.38245754239165
270;269;20.869584236381606
269;273;532.8784404114011
273;64;756.1390279369285
64;277;717.4853232637662
282;577;321.4620408808094
228;278;1127.4471355531373
278;65;326.9051432876464
65;276;22.986436351773914
276;275;414.21702111287794
275;274;761.5454568564097
274;271;270.3814525979457
271;272;14.219712787663155
272;358;541.273630086774
81;82;16.157638412129145
82;62;337.5000121266009
62;249;16.67677635963715
249;250;267.2140749682817
250;86;345.5480949029656
86;366;27.806968916001598
366;368;416.1483616735655
368;247;305.3622650530465
577;317;281.4419793729795
317;596;42.09528087960747
500;228;912.5685078797715
248;87;175.69937057408825
87;367;276.3523027124306
367;616;25.80005172163433
616;251;663.7307522950879
251;365;823.5532185844609
365;85;81.71158168850604
85;26;292.7815575777846
110;109;360.99386024494726
109;207;889.703514218745
207;206;301.0411693831923
206;204;217.03113395368547
204;328;245.48501972269105
17;360;104.63192355048322
361;464;227.6188040986012
464;462;210.1872098131551
462;208;237.45411101278486
208;461;131.37950802071362
461;84;277.87506110489005
84;363;73.097785591803
363;108;266.5701987738109
108;107;344.9744892613161
107;374;169.00533206347842
374;101;213.6729290827215
101;453;266.0420208700265
503;548;452.49480556246226
548;547;272.7973711520988
404;90;191.77645527648352
90;563;317.91520269815726
563;562;305.22001002075524
562;561;185.5205546812485
561;560;184.3118935956779
560;54;227.03423670207863
54;287;327.3813507413221
287;136;327.02127155574243
136;559;322.60717083435475
559;558;291.0983952041066
558;557;281.964987434
557;372;181.43308144436295
372;371;210.94100221695592
371;183;282.26667419339753
183;544;276.4559559365681
544;176;162.53390053607544
176;80;229.3894152185625
343;282;165.36829647949594
282;280;488.07030656374565
280;556;171.69277758859616
385;555;290.3168950152145
555;86;353.6929136049391
86;554;558.9094562808169
554;51;595.5894317809981
51;460;431.9950627801444
460;234;382.2618432717273
234;308;366.05996360071117
307;539;19.421361377235467
539;489;284.0280165012278
306;182;170.9767953170115
182;60;282.55575525266573
60;240;251.31712929115747
240;553;234.64730509799102
553;552;145.63369755047043
552;461;128.53598931113254
461;199;245.97699670226064
24;602;264.5760244056419
602;607;320.1590723600523
607;25;207.91802019075539
499;551;275.16476749606124
551;550;425.6233389796707
550;488;283.4555475416906
456;457;371.56990690944866
457;528;317.75580821927497
528;250;302.98374915134815
570;92;84.26843052430407
92;210;247.85467180860044
277;556;241.2385601934066
556;93;448.0903133717603
93;69;365.8045260628869
342;77;1231.6315568345858
524;34;447.20063257638725
34;78;47.393975258299186
338;211;322.49690264012776
211;214;16.906649374809568
214;503;466.29837293424606
404;197;241.97257506036928
197;349;350.3270699409991
349;350;28.012540304724638
350;356;166.20869963096905
356;345;361.3748972581351
345;346;21.951851628166057
346;347;273.91254447377645
347;348;50.007239743582815
348;265;285.4425152024547
265;174;415.2010395283339
174;324;427.03492909361483
324;435;371.85563187223056
435;434;167.01677388327798
434;611;258.949887091175
611;612;236.1161590949923
612;173;223.88200542297676
173;83;848.004189152276
83;90;585.1904446137562
90;376;125.95226501685414
507;212;293.4754245814969
212;213;21.2720162134234
213;33;908.3053769565499
33;76;473.7416520629044
334;75;268.2052116687091
332;333;124.49492937406394
333;331;271.68450823241665
331;344;103.9527572740046
343;454;162.39876200109734
454;386;458.0232901604608
386;325;148.77461075728692
325;385;295.66153407192417
385;383;655.3556982900301
539;309;231.39406702861444
311;312;183.73307076489274
312;326;602.8701633300649
581;605;323.158922091877
605;606;22.526150852326598
606;77;839.8606865376202
33;338;515.4306668393085
338;341;346.5722658071381
341;339;484.12210909278167
177;370;434.1802608265727
370;372;172.58827519286928
372;373;344.6256240134668
582;175;320.7843714675014
175;89;119.76938049516588
89;88;107.28229881728308
88;371;306.289163595455
544;492;139.7808771665425
492;176;35.86278330086312
80;340;253.37049873771963
340;337;91.24031322800782
336;79;248.10053621521692
79;34;250.91730710608422
335;523;519.1946142784502
523;246;213.37070055829406
246;430;43.16802432243818
430;452;569.38982776522
452;227;363.68185993180157
192;508;314.604357519143
508;509;147.82193091820326
315;313;249.42040598914022
313;310;197.66842109069813
310;308;112.01515606026804
295;98;212.36231776973702
98;296;310.3285083483585
296;99;135.1503249339672
99;356;434.13341746453943
346;348;320.48020919097104
348;469;112.91952114094079
469;468;21.364720324030934
468;132;395.8378180229765
132;133;49.48494396169352
133;353;122.82644634726412
353;354;264.7263325251315
354;355;58.28962430986749
355;125;308.29581991177025
125;126;65.54798827390147
126;179;590.2675157133896
179;180;53.42596345153706
180;478;514.4448078797841
478;477;30.697911597856248
477;475;252.73360488845046
475;476;15.337181999988388
476;474;196.3876761435247
474;473;398.9871060822164
473;471;304.9711875591573
471;472;311.1521249967854
472;377;314.1720452331128
377;47;792.0573453279758
47;178;28.34654609246533
178;123;493.00568908145885
123;124;27.207499110909893
124;127;274.27134978815917
127;128;13.165633081991526
128;130;367.2327550883987
130;131;31.316162020018574
131;117;498.15753026358664
117;347;647.5316861418733
347;83;597.10989312709
83;350;167.389650098284
350;349;28.012540304724638
349;197;350.3270699409991
376;292;187.33519421921156
